0.00035707,3.4344e-07,4.9037e-07,1.3715e-07,2.7127e-08,4.8684e-08,3.5902e-08,8.7564e-08,9.4042e-10,1.6765e-08,5.052e-08,9.8692e-09,5.7787e-08,3.3748e-09,1.253e-09
1.2553,0.8199,0.7549,0.7264,0.60885,0.58341,0.4805,0.48004,0.43582,0.46622,0.41772,0.40417,0.38339,0.37261,0.37477
2.9847,1.7441,1.6056,1.4555,1.3952,1.1687,0.9563,0.97478,0.86183,0.94559,0.85806,0.79441,0.7747,0.73903,0.74733
4.4501,3.4682,2.9214,2.4661,2.0004,1.7518,1.4484,1.4705,1.2828,1.4256,1.3282,1.1736,1.1742,1.0988,1.1206
7.6563,5.0695,4.3401,3.5491,2.5229,2.2867,2.059,1.9709,1.7102,1.8615,1.7932,1.5475,1.5758,1.4506,1.486
7.6309,7.4453,5.3913,4.6712,3.1171,2.8383,2.699,2.5697,2.1556,2.3097,2.2349,1.9177,1.9461,1.8159,1.9067
7.8173,7.6037,8.0345,5.895,6.0735,3.3549,3.2599,3.246,2.6221,3.0735,2.6962,2.322,2.3316,2.314,2.2951
9.131,8.267,9.331,6.287,6.8823,3.8476,3.9249,3.877,3.2883,3.5865,3.2163,2.7093,2.8367,2.7534,2.6903
9.2028,9.1339,9.3456,7.552,7.39,4.2737,4.5915,4.5526,4.1429,4.1,3.6972,3.1002,3.2176,3.1697,3.703
8.5438,9.2029,9.9971,8.4368,7.8103,6.6803,5.6067,5.3481,4.6431,4.6003,4.1934,3.5541,3.5966,4.3176,4.2656
8.7224,9.6332,10.235,9.376,8.3885,8.4171,7.4943,5.8942,5.3069,5.0591,4.6288,4.1924,3.9966,4.7184,4.7371
8.8193,10.516,10.789,10.463,8.6913,10.523,8.7324,6.3811,6.9518,5.6461,5.151,4.6088,4.8395,5.0422,5.5798
9.884,10.128,10.715,11.016,8.8314,10.343,10.394,6.8447,7.5056,6.6758,5.6747,5.0256,5.807,5.349,6.0225
9.5563,9.7784,10.717,10.971,9.532,10.798,10.45,7.6109,8.1466,7.8574,6.735,5.4051,6.2434,5.9933,6.6496
9.141,10.048,11.052,11.447,9.7849,10.848,10.569,11.035,10.058,8.4292,7.5337,5.7929,6.5969,6.8021,7.1225
9.0935,9.38,10.769,11.815,10.268,11.095,11.266,11.873,11.225,9.4016,8.2835,7.231,6.8527,8.6016,8.1564
9.2189,9.5251,10.538,11.68,9.8417,10.333,10.304,11.735,12.16,9.0183,10.215,7.6639,7.1076,8.7596,8.4215
9.6706,10.546,10.46,11.981,10.338,10.455,10.886,10.713,12.185,9.3956,9.7158,8.9058,8.0033,8.9964,9.7816
8.9781,9.6057,10.612,11.568,10.386,10.765,10.924,11.833,11.723,11.245,10.05,8.6104,8.6491,9.7377,8.5975
8.9942,9.3548,11.572,11.659,10.026,10.669,10.993,11.999,11.501,11.307,10.176,9.6069,8.1404,9.9621,10.005
9.0522,9.6508,11.486,11.798,10.243,11.854,10.958,11.82,11.525,10.341,10.404,9.5647,8.6225,10.153,9.7875
